Card Level,Gem Color (Upper Right),Prestige Points,Total Cost,,White Cost,Blue Cost,Green Cost,Red Cost,Black Cost
1,White,,3,,,3,,,
1,White,,3,,,,,2,1
1,White,1,4,,,,4,,
1,White,,4,,,2,,,2
1,White,,4,,,1,1,1,1
1,White,,5,,3,1,,,1
1,White,,5,,,2,2,,1
1,White,,5,,,1,2,1,1
1,Blue,,3,,,,,,3
1,Blue,,3,,1,,,,2
1,Blue,1,4,,,,,4,
1,Blue,,4,,,,2,,2
1,Blue,,4,,1,,1,1,1
1,Blue,,5,,,1,3,1,
1,Blue,,5,,1,,2,2,
1,Blue,,5,,1,,1,2,1
1,Green,,3,,,,,3,
1,Green,,3,,2,1,,,
1,Green,1,4,,,,,,4
1,Green,,4,,,2,,2,
1,Green,,4,,1,1,,1,1
1,Green,,5,,1,3,1,,
1,Green,,5,,,1,,2,2
1,Green,,5,,1,1,,1,2
1,Red,,3,,3,,,,
1,Red,,3,,,2,1,,
1,Red,1,4,,4,,,,
1,Red,,4,,2,,,2,
1,Red,,4,,1,1,1,,1
1,Red,,5,,1,,,1,3
1,Red,,5,,2,,1,,2
1,Red,,5,,2,1,1,,1
1,Black,,3,,,,3,,
1,Black,,3,,,,2,1,
1,Black,1,4,,,4,,,
1,Black,,4,,2,,2,,
1,Black,,4,,1,1,1,1,
1,Black,,5,,,,1,3,1
1,Black,,5,,2,2,,1,
1,Black,,5,,1,2,1,1,
2,White,2,5,,,,,5,
2,White,3,6,,6,,,,
2,White,2,7,,,,1,4,2
2,White,1,7,,,,3,2,2
2,White,2,8,,,,,5,3
2,White,1,8,,2,3,,3,
2,Blue,2,5,,,5,,,
2,Blue,3,6,,,6,,,
2,Blue,2,7,,2,,,1,4
2,Blue,1,7,,,2,2,3,
2,Blue,2,8,,5,3,,,
2,Blue,1,8,,,2,3,,3
2,Green,2,5,,,,5,,
2,Green,3,6,,,,6,,
2,Green,2,7,,4,2,,,1
2,Green,1,7,,2,3,,,2
2,Green,2,8,,,5,3,,
2,Green,1,8,,3,,2,3,
2,Red,2,5,,,,,,5
2,Red,3,6,,,,,6,
2,Red,2,7,,1,4,2,,
2,Red,1,7,,2,,,2,3
2,Red,2,8,,3,,,,5
2,Red,1,8,,,3,,2,3
2,Black,2,5,,5,,,,
2,Black,3,6,,,,,,6
2,Black,2,7,,,1,4,2,
2,Black,1,7,,3,2,2,,
2,Black,2,8,,,,5,3,
2,Black,1,8,,3,,3,,2
3,White,4,7,,,,,,7
3,White,5,10,,3,,,,7
3,White,4,12,,3,,,3,6
3,White,3,14,,,3,3,5,3
3,Blue,4,7,,7,,,,
3,Blue,5,10,,7,3,,,
3,Blue,4,12,,6,3,,,3
3,Blue,3,14,,3,,3,3,5
3,Green,4,7,,,7,,,
3,Green,5,10,,,7,3,,
3,Green,4,12,,3,6,3,,
3,Green,3,14,,5,3,,3,3
3,Red,4,7,,,,7,,
3,Red,5,10,,,,7,3,
3,Red,4,12,,,3,6,3,
3,Red,3,14,,3,5,3,,3
3,Black,4,7,,,,,7,
3,Black,5,10,,,,,7,3
3,Black,4,12,,,,3,6,3
3,Black,3,14,,3,3,5,3,
,,,,,,,,,
,Sums,140,585,,117,117,117,117,117
90,Total Cards,,,,,,,,
40,Level 1 Cards,,,,,,,,
30,Level 2 Cards,,,,,,,,
20,Level 3 Cards,,,,,,,,
,Avg. Points Per Card (all),1.555555556,,,,,,,
,Avg. Points Per Card (1),0.125,,,,,,,
,Avg. Points Per Card (2),1.833333333,,,,,,,
,Avg. Points Per Card (3),4,,,,,,,
,Avg. Cost Per Card (all),6.5,,,,,,,
,Avg. Cost Per Card (1),4.125,,,,,,,
,Avg. Cost Per Card (2),6.833333333,,,,,,,
,Avg. Cost Per Card (3),10.75,,,,,,,
,Color Key,,,,,,,,
,W,White,,,,,,,
,B,Black,,,,,,,
,R,Red,,,,,,,
,G,Green,,,,,,,
,U,Blue,,,,,,,
,Need Priority,,,,,,,,
Level 3 (B),"R, G, B",,,,,,,,
Level 3 (R),"G, U, R",,,,,,,,
Level 3 (G),"U, W, G",,,,,,,,
Level 3 (U),"W, B, U",,,,,,,,
Level 3 (W),"B, R, W",,,,,,,,
Level 2 (B),"G, W, B, R, U",,,,,,,,
Level 2 (R),"B, R, U, W, G",,,,,,,,
Level 2 (G),"G, U, W",,,,,,,,
Level 2 (U),"U, B/W, G, R",,,,,,,,
Level 2 (W),"R, W, B, G, U",,,,,,,,
Level 1 (B),"G, U, R, W, B",,,,,,,,
Level 1 (R),"W, B, U/G, R",,,,,,,,
Level 1 (G),"B/R/U, W, G",,,,,,,,
Level 1 (U),"R, B/G, W, U",,,,,,,,
Level 1 (W),"U, G, B, R, W",,,,,,,,
