cardId,prestigePoints,bonusGem,costRuby,costEmerald,costSapphire,costDiamond,costOnyx
1,0,RUBY,1,1,1,0,0
2,0,EMERALD,1,0,0,0,2
3,0,SAPPHIRE,0,0,2,0,1
4,0,DIAMOND,0,0,0,0,3
5,0,ONYX,0,1,1,1,0
6,0,RUBY,0,2,0,0,0
7,0,EMERALD,0,0,0,2,0
8,0,SAPPHIRE,0,0,0,0,2
9,0,DIAMOND,3,0,0,0,0
10,0,ONYX,1,1,0,1,1
11,0,RUBY,0,0,1,2,1
12,0,EMERALD,0,0,2,0,2
13,0,SAPPHIRE,1,3,0,0,0
14,0,DIAMOND,0,0,1,0,2
15,0,ONYX,2,1,0,0,0
16,0,RUBY,0,0,0,1,2
17,0,EMERALD,0,2,2,0,0
18,0,SAPPHIRE,1,0,0,2,0
19,0,DIAMOND,0,1,0,1,1
20,0,ONYX,2,0,0,0,2
